Indicatori,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"PIB, preturi curente, mii lei",131964258,1.46740205e8,1.59010419e8,1.76007293e8,1.89062627e8,2.06256239e8,1.99733684e8,2.42078629e8,2.74488063e8,3.03554038e8,3.23932494e8
"PIB, preturi curente, mii $ SUA",9399967,7.798648e6,7.980938e6,9.518976e6,1.1251641e7,1.1735722e7,1.1531922e7,1.369098e7,1.4520739e7,1.6714886e7,1.8206842e7
"PIB, preturi curente, mii Euro",7082629,7.021718e6,7.209787e6,8.450419e6,9.52734e6,1.0483622e7,1.0116363e7,1.1568569e7,1.3794619e7,1.5453469e7,1.6824778e7
"PIB dupa paritatea puterii de cumparare, mii $ SUA",25678976,2.575913e7,3.0269318e7,3.1435487e7,3.3501871e7,3.5596132e7,3.4228602e7,4.2511911e7,4.4153582e7,5.1392749e7,5.5721568e7
"Indicele volumului fizic al PIB, anul precedent=100, %",-,99.3,104.6,104.2,104.1,103.6,91.7,113.9,95.4,101.2,100.3
"Indicele-deflator al PIB, %",-,112.0,103.6,106.3,103.2,105.4,105.6,106.4,118.9,109.3,106.4
"PIB pe locuitor, preturi curente, lei",46177,51742.0,56725.0,63882.0,69837.0,77417.0,75797.0,93257.0,108551.0,123507.0,134842.0
"PIB pe locuitor, preturi curente, $ SUA",3289,2750.0,2847.0,3455.0,4156.0,4405.0,4376.0,5274.0,5742.0,6801.0,7579.0
"PIB pe locuitor, preturi curente, Euro",2478,2476.0,2572.0,3067.0,3519.0,3935.0,3839.0,4457.0,5455.0,6288.0,7004.0
"PIB pe locuitor dupa paritatea puterii de cump_rare, $ SUA",8986,9083.0,10798.0,11410.0,12375.0,13361.0,12989.0,16377.0,17461.0,20910.0,23195.0
Indicele volumului fizic al PIB pe locuitor fata de anul precedent,-,100.1,105.9,106.0,105.9,105.2,92.7,115.7,97.9,104.1,102.6
"Venitul national brut, preturi curente, mii lei",143631963,1.5540067e8,1.68238001e8,1.86204183e8,1.9831231e8,2.17219052e8,2.06554557e8,2.46685196e8,2.7563939e8,3.08400883e8,3.2558387e8
"Venitul national brut, preturi curente, mii $ SUA",10231071,8.258917e6,8.444083e6,1.0070452e7,1.1802115e7,1.2359492e7,1.1925735e7,1.3951509e7,1.4581645e7,1.6981773e7,1.8299659e7
"Venitul national brut, preturi curente, mii Euro",7708845,7.436133e6,7.62818e6,8.93999e6,9.993455e6,1.1040842e7,1.0461835e7,1.1788709e7,1.385248e7,1.5700214e7,1.6910549e7
"Venitul national brut pe locuitor,  preturi curente, lei",50259,54796.0,60017.0,67583.0,73254.0,81532.0,78385.0,95032.0,109006.0,125479.0,135530.0
"Venitul national brut pe locuitor,  preturi curente,  $ SUA",3580,2912.0,3012.0,3655.0,4360.0,4639.0,4526.0,5375.0,5767.0,6909.0,7618.0
"Venitul national brut pe locuitor,  preturi curente,   Euro",2697,2622.0,2721.0,3245.0,3691.0,4144.0,3970.0,4541.0,5478.0,6388.0,7039.0
"Indicele preturilor de consum mediu anual, %",105.1,109.7,106.4,106.6,103.1,104.8,103.8,105.1,128.7,113.4,104.7
Numarul mediu anual al populatiei mii pers.,2858,2836.0,2803.0,2755.0,2707.0,2664.0,2635.0,2596.0,2529.0,2458.0,2402.0
"Rata medie de schimb anuala, lei/ $ SUA",14.0388,18.8161,19.9238,18.4902,16.8031,17.5751,17.3201,17.6816,18.9032,18.1607,17.7918
"Rata medie de schimb anuala, lei/ Euro",18.6321,20.898,22.0548,20.8282,19.8442,19.6741,19.7436,20.9255,19.8982,19.6431,19.2533
